Tower of Nervous Sweating,Terrifying,ViraStarz,Salveritie,Ring 9 (JToH),Client Objects,"Raw Difficulty, Punishment",Moderate (20+ min.),"February 29, 2024",https://www.youtube.com/embed/3KWssWxaEQs
Tower of Narrow Intensification,Terrifying,Dogey258YT,pczm1,N/A,Purism,Raw Difficulty,Very Short (10+ min.),???,https://www.youtube.com/embed/6_lqvRjcubI
Tower of Cliffside Madness,Terrifying,imsobadatsurf3,PoppinKenny07,Scope 1 (CSCD),"Client Objects, Jank",Raw Difficulty,Moderate (20+ min.),"July 21, 2022",https://www.youtube.com/embed/JjPGlK7HOH8
Tower of Hellish Nightmares,Terrifying,MythIX,seafoamjade,The Eternal Abyss,"Client Objects, Linear",Punishment,Short (15+ min.),"June 25, 2024",https://www.youtube.com/embed/8uqYB-2GUHU&t=0s
Tower of Destructive Peril,Terrifying,izamschez,pivit16_YT,Plate 10 (TBP),"Client Objects, Linear",Raw Difficulty,Short (15+ min.),"October 31, 2023",https://youtube.com/embed/g8GvQJFQwc4
Tower of Quantum Mentality,Terrifying,KyleG250,shinryan12,Regret's Cave (ZToA),"Client Objects, Linear",Raw Difficulty,Very Short (10+ min.),"April 11, 2024",https://www.youtube.com/embed/G7azJiOOkbQ
Tower of Seclusion,Terrifying,Matthew071140,Torchic000,Ring 8 (AToS),"Client Objects, Linear",Punishment,Moderate (20+ min.),"October 24, 2022",https://www.youtube.com/embed/ndnTkcvnd20
Tower of Hoarse Constraints,Terrifying,OSCH2008,MrLegendairy,N/A,Client Objects,Raw Difficulty,Very Short (10+ min.),"September 23, 2023",https://www.youtube.com/embed/Ld5gAO2ALTU
Tower of Interstellar Division,Terrifying,GamerQiu3,tojma07,N/A,Client Objects/Technical,Raw Difficulty,Short (15+ min.),"January 6, 2023",https://youtube.com/embed/FkGwxk1Rrz4
Tower of The Opp Block,Terrifying,L1_SAL,L1_SAL,N/A,Linear/Purism,"Raw Difficulty, Punishment",Very Short (10+ min.),"April 18, 2024",https://www.youtube.com/embed/L7lsVR-6MyI
Tower of Wildly Wacky Wonders,Terrifying,clownerer,xXDogeNgamerXx,Zone 9 (JToH),Client Objects,"Raw Difficulty, Punishment",Moderate (20+ min.),"March 28, 2024",https://www.youtube.com/embed/OopgITOS_G8
Tower of Mauve Attestations,Terrifying,eddiecarmine,MrLegendairy,N/A,Client Objects/Linear/Technical,Raw Difficulty,Short (15+ min.),"January 3, 2023",https://www.youtube.com/embed/gDwF3uxSSIA
Tower of Roughly Rotated Ruin,Terrifying,HecateZoe,Cdeeev,N/A,Client Objects/Linear/Jank,Raw Difficulty,Moderate (20+ min.),"July 20, 2022",https://www.youtube.com/embed/JW-PETDf9qA
Tower of Reflecting Impediments,Terrifying,MythIX,Forstaken2008xs,N/A,Linear/Purism,Raw Difficulty,Very Short (10+ min.),"May 31, 2024",https://www.youtube.com/embed/zE6KR48FMSA&t=0s
Tower of Dynamic Pulse,Terrifying,tab_gaming,tojma07,N/A,Client Objects,"Raw Difficulty, Punishment",Short (15+ min.),"April 1, 2024",https://www.youtube.com/embed/4RGqwhxwVjk
Tower of Brisk Movement,Terrifying,zeverion,zeverion,N/A,Technical/Jank,"Raw Difficulty, Punishment",Extremely Short (5+ min.),"November 14, 2023",https://www.youtube.com/embed/iUlg97cNPbQ
Tower of Chacina Repentina,Terrifying,Fuzzyrocks123,"franchun04, 1fren6",Ring 7 (AToS),Client Objects/Technical,"Raw Difficulty, Punishment",Short (15+ min.),"August 3, 2023",https://youtube.com/embed/SSFWGhqyhGQ
Tower of Uncanny Agony,Terrifying,imsobadatsurf3,franchun04,Zone 7 (JToH),Client Objects,Raw Difficulty,Moderate (20+ min.),"July 14, 2022",https://www.youtube.com/embed/tTkLKTTx5xU
Tower of Colossal Crossroad Climbing,Terrifying,Fuzzyrocks123,624ok,N/A,Linear/Client Objects,Raw Difficulty,Moderate (20+ min.),"May 25, 2024",https://www.youtube.com/embed/6qqJR1JD7KA
Tower of Ethereal Punishment,Terrifying,Hyperfantasies,leafyzxv,N/A,Linear/Technical/Purism,Raw Difficulty,Very Short (10+ min.),"November 3, 2023",https://www.youtube.com/embed/cfT8Qpu2YnA
