name,difficulty,verifier,creators,location,gpStyle,difficultySource,length,verifDate,videoLink
Citadel of Infinite Void,13.15,skitsuna,Various Creators,Pit of Misery (JToH),Mixed,"Length, Punishment",Extremely Long (60+ min.),10/14/2023,https://www.youtube.com/embed/Mtcliw0KJ4w
IKEA Tower,13.10,MonsterIsABlock,Higherthanblox,N/A,"Purism, Linear",Raw Difficulty,Very Short (10+ min.),6/7/2024,https://www.youtube.com/embed/fpJmckiIzFw
Citadel of The Eternal Calamity,13.08,Marqulitt,ZePlayerSlayer,The Eternal Abyss,Mixed,"Length, Punishment",Extremely Long (60+ min.),7/13/2024,https://www.youtube.com/embed/cZefNeSBC40
Tower of Blind Fate,13.00,tinenderman,Nosav,Pit of Misery,"Linear, Purism","Length, Punishment",Long (30+ min.),8/13/2024,https://www.youtube.com/embed/NIQdqs81m8g
Tower of Dissociative Force,12.92,exexic,sladoledenavafla,Domain 1 (CTT),"Client Objects, Linear, Technical",Raw Difficulty,Long (30+ min.),5/13/2024,https://www.youtube.com/embed/7l45R-XXwtE
Tower of Jaded Compromise,12.67,Truespirit,"glizzygladiattorrr, Incindius",N/A,"Client Objects, Technical",Raw Difficulty,Moderate (20+ min.),7/14/2024,https://www.youtube.com/embed/Qvnn5IDNJRQ
Tower of Thje Floor,12.70,lindsayfairlamb,speedycat5,N/A,"Linear, Purism","Raw Difficulty, Punishment",Very Short (10+ min.),8/5/2024,https://www.youtube.com/embed/xTjwovGVEe4
Tower of Eternal Void,12.60,skitsuna,Various Creators,Pit of Misery (JToH),Mixed,"Length, Punishment",Very Long (45+ min.),7/25/2022,https://www.youtube.com/embed/WaYp7yKc1Cs
Tower of Lucas Penteado,12.57,tinenderman,"1fren6, liu06",Scope 1 (CSCD),Technical,Raw Difficulty,Short (15+ min.),11/26/2023,https://youtube.com/embed/wwue1vcDjjE
Tower of Flagrant Aggravation,12.55,exexic,sokol50,The Eternal Abyss,Technical,"Raw Difficulty, Punishment",Short (15+ min.),1/19/2024,https://youtube.com/embed/f68RSZgklJI
Steeple of Cheese Burger,12.50,MonsterIsABlock,"Nosav, Torchic000",Pit of Misery (JToH),"Purism, Technical, Jank",Raw Difficulty,Extremely Short (5+ min.),3/13/2024,https://www.youtube.com/embed/tOqPJ6Z-McY
Tower of Quite Devious,12.44,ZePlayerSlayer,tojma07,The Eternal Abyss,"Technical, Purism","Raw Difficulty, Punishment",Short (15+ min.),7/21/2024,https://www.youtube.com/embed/oRH5k8N8Nek
Tower of The Roof's Pique,12.42,BoomSasok,xxDuzeRxx,Pit of Misery (JToH),"Low-Roof, Purism, Technical","Raw Difficulty, Punishment",Very Short (10+ min.),8/4/2022,https://www.youtube.com/embed/9WkxSvUb10I
Tower of Malefic Nuisances,12.40,kkdpracticeacc,WaterMakeer,The Eternal Abyss,Linear,Raw Difficulty,Extremely Short (5+ min.),2/8/2024,https://www.youtube.com/embed/nyJ8wCp6_3g
Tower of Futile Perusal,12.35,Gehadimad,"AddisonJudah, 60SecondsUntil",Scope 2 (CSCD),Linear,Raw Difficulty,Short (15+ min.),1/9/2024,https://youtube.com/embed/1t5NySD-whA?si=aMZ-x5v4kgp-qVXD
Tower of The Sky's The Limit,12.34,bop1783,1I1LaSeR1I1,The Eternal Abyss,"Client Objects, Technical",Raw Difficulty,Short (15+ min.),7/17/2024,https://www.youtube.com/embed/s0Bw9LCLZKg
Tower of Spatial Awareness,12.33,Z_Exzer,Sceptile19,N/A,Purism,Raw Difficulty,Short (15+ min.),5/12/2024,https://www.youtube.com/embed/7xPD_M_r0Qc
Tower of Hollow Obstacles,12.25,Gehadimad,D_yni,N/A,"Purism, Technical, Jank",Raw Difficulty,Short (15+ min.),7/27/2024,https://youtube.com/embed/Fkv0rmQfI2Q?si=WuR7Gh259t0U1Ii0
Tower of Water Melon,12.23,tinenderman,"Nosav, burgchin",Pit of Misery (JToH),"Client Objects, Technical","Raw Difficulty, Punishment",Short (15+ min.),9/27/2022,https://www.youtube.com/embed/ZPnxytN03X0
Tower of Thje Wall,12.11,BoomSasok,Lawnslayer,The Eternal Abyss,Purism,Raw Difficulty,Very Short (10+ min.),5/26/2023,https://www.youtube.com/embed/lxpsX1F7jxY
Tower of Truss Anarchy,12.08,exexic,"juk_n, PensiveGaming",N/A,"Purism, Technical",Raw Difficulty,Short (15+ min.),1/10/2024,https://www.youtube.com/embed/Wh8v9ACYlao
Doomsday Tower,12.06,skitsuna,IceNsalt,N/A,"Memory, Client Objects",Raw Difficulty,Very Short (10+ min.),1/25/2023,https://www.youtube.com/embed/Dx84I9ChrcI
Tower of The Bussin,12.05,Gehadimad,"Incindius, glizzygladiattorrr",N/A,Mixed,"Raw Difficulty, Punishment",Very Short (10+ min.),3/29/2024,https://youtube.com/embed/WaN6UNYGAzM
Tower of Jabberwock Jagger,12.00,MyntExists,"robloxroblox556, N0tMatu",N/A,Client Objects,Raw Difficulty,Very Short (10+ min.),11/3/2023,https://www.youtube.com/embed/rcLGUDrT0SU
Tower of Cruel Punishment,11.99,myfrata,1fren6,Ring 9 (JToH),Mixed,"Length, Punishment",Very Long (45+ min.),7/8/2021,https://www.youtube.com/embed/ifPyE5-cpW8
Tower of Incessant Vexation,,llyaria,cybernetixzs,N/A,"Purism, Linear",Raw Difficulty,Very Short (10+ min.),5/27/2024,https://youtube.com/embed/eA3D0akuYgs
Tower of Fujiwara no Mokou,,KosteSkaft23,TotallyCoolAubrey,N/A,"Low-Roof, Purism",Raw Difficulty,Very Short (10+ min.),4/28/2024,
Tower of Vacant Hindrances,,BoomSasok,Torchic000,Pit of Misery (JToH),Purism,Raw Difficulty,Extremely Short (5+ min.),9/8/2021,https://www.youtube.com/embed/CeAymZ_07dM
Tower of Corner Kerfuffle,,MyntExists,feixfii,N/A,"Client Objects, Technical",Raw Difficulty,Short (15+ min.),5/23/2024,https://www.youtube.com/embed/cIJnRE4XLM8
Tower of Prolonged Condemnation,,MythIX,brqinstqrminq,N/A,"Consistency, Linear","Length, Punishment",Long (30+ min.),7/23/2024,https://www.youtube.com/embed/AHJAlKCq6aA
Tower of Elysian Crossings,,LuckyMrporsche,Various Creators,N/A,Client Objects,"Raw Difficulty, Punishment",Moderate (20+ min.),12/13/2023,https://youtube.com/embed/rXsk8DyO1A8
Tower of Elongated Runs,,xavirus,ciel_azulsky,Ring 7 (JToH),"Consistency, Linear","Length, Punishment",Long (30+ min.),8/29/2021,https://www.youtube.com/embed/nkgQsHnL7vw
Tower of Virulent Sojourn,,MythIX,indqx,N/A,Client Objects,"Raw Difficulty, Punishment",Moderate (20+ min.),6/2/2023,https://www.youtube.com/embed/sHM_SWg2O5s
Tower of Thin Mints,,Damjom,Lawnslayer,The Eternal Abyss,"Client Objects, Technical",Raw Difficulty,Moderate (20+ min.),1/9/2023,https://youtube.com/embed/mb4if8ZHob0
Steeple of Pole Pole Pole,,TheRealRobloxian9,Nosav,N/A,"Purism, Linear",Raw Difficulty,Extremely Short (5+ min.),5/20/2024,https://www.youtube.com/embed/gb1e6-NpfQA
Tower of Terse Persecution,11.75,itsmycrafted,Macloux,N/A,Purism,Raw Difficulty,Very Short (10+ min.),8/10/2022,https://www.youtube.com/embed/vmKetDkveig
Tower of Exodus Obscurity,,ZachTheTrxhard,"Indqx, Livingonmycouch",Sword Fight Canyon (AToS),"Client Objects, Technical",Raw Difficulty,Extremely Short (5+ min.),1/31/2023,http://www.youtube.com/embed/-Flo6-armks
Tower of Heaven's Gate,,lucy_naaaa,Various Creators,N/A,"Client Objects, Technical",Raw Difficulty,Short (15+ min.),10/12/2023,https://www.youtube.com/embed/_yDgmogMzxo
Tower of Shunning Excursion,,Scorionix,Various Creators,Pit of Misery (JToH),"Client Objects, Linear","Length, Punishment",Long (30+ min.),5/27/2022,https://www.youtube.com/embed/03xZ1983eus
Tower of Pulsating Ambition,,Gregre11,cuddlyno321,Scope 1 (CSCD),"Client Objects, Linear",Raw Difficulty,Moderate (20+ min.),8/19/2022,https://www.youtube.com/embed/OTmdzn0F7aI
Tower of Champion's Road,,myfrata,Various Creators,Ring 9 (JToH),"Purism, Technical",Raw Difficulty,Short (15+ min.),3/27/2021,https://www.youtube.com/embed/KJhCLcRgQ3Q
Tower of The Wedge's Vengeance,,Conraderien,Various Creators,N/A,Purism,"Raw Difficulty, Punishment",Short (15+ min.),2/21/2023,http://www.youtube.com/embed/VJUgLl-9zNc
STONE Facility,,skitsuna,IceNsalt,Scope 2 (CSCD),Classic,"Raw Difficulty, Punishment",Moderate (20+ min.),9/1/2023,https://youtube.com/embed/fOoRGiTE79I
"Tower of Yeah, It's Pretty Empty Entirely",11.50,bop1783,"Guest_34821, r_vki",N/A,"Purism, Linear",Raw Difficulty,Extremely Short (5+ min.),4/13/2024,https://www.youtube.com/embed/RR1Kk4lOgpo
Steeple of Xei Pei Disagreement,,Kyruniko,FireToast2,N/A,Purism,Raw Difficulty,Very Short (10+ min.),6/2/2024,https://www.youtube.com/embed/V4elsALQ3r8
Tower of Punishing Runs,,joelkoot,7oaad,N/A,"Client Objects, Linear","Raw Difficulty, Punishment",Very Short (10+ min.),6/2/2024,https://youtube.com/embed/_lQNhJaDlGQ
Tower of Necrotic Incantation,,Ureknia,t_azk,Scope 2 (CSCD),"Client Objects, Linear","Raw Difficulty, Punishment",Moderate (20+ min.),12/28/2022,https://youtube.com/embed/F9KL_Apkg2w
Tower of Live The Dream,,joelkoot,retail88,N/A,"Purism, Linear",Raw Difficulty,Short (15+ min.),6/5/2024,https://youtube.com/embed/rVzcR1C014U
Tower of Empty Meaningless Patterns,,ImPuffbawl,Heksi,Zone 9 (JToH),Client Objects,"Raw Difficulty, Punishment",Short (15+ min.),1/27/2024,https://www.youtube.com/embed/B_0n_4PREng
Tower of Pure Ability,,vt_et,Various Creators,N/A,"Purism, Linear",Raw Difficulty,Moderate (20+ min.),5/21/2024,https://www.youtube.com/embed/nmto5eeLXNE
Citadel of Colorless Despair,,RagingBagon,XxDarkSnakeyesxX,N/A,"Purism, Linear","Length, Punishment",Long (30+ min.),5/22/2024,https://www.youtube.com/embed/fGIH7gMzqEU
Tower of Otherworldy Expertise,,Crimzenith,Crimzenith,The Eternal Abyss,"Classic, Purism",Raw Difficulty,Short (15+ min.),11/12/2023,https://youtube.com/embed/cdTXWPpCE80
Tower of Un Ca,,Hyperfantasies,rbxj,N/A,Purism,Raw Difficulty,Very Short (10+ min.),6/3/2024,https://youtube.com/embed/vE3KEsnGhBQ
Tower of Unorthodoxy,,zeverion,Rag_nva,Scope 3 (CSCD),Purism,"Raw Difficulty, Punishment",Very Short (10+ min.),4/28/2024,https://youtube.com/embed/fDj4bupByb8
Tower of Tortuous Oblivion,,Cll0y,Heksi,The Eternal Abyss,Technical,"Raw Difficulty, Punishment",Extremely Short (5+ min.),7/1/2022,https://www.youtube.com/embed/AEDyi5mbqlQ
Tower of Memory Leak,,joelkoot,ToxicToChildren,N/A,"Purism, Technical",Raw Difficulty,Extremely Short (5+ min.),6/4/2024,https://www.youtube.com/embed/TsCmhzr9g0g
Steeple of Coconut,,47avaa,Forstaken2008xs,N/A,"Purism, Technical",Raw Difficulty,Extremely Short (5+ min.),5/28/2023,https://www.youtube.com/embed/NJXpJ_oSVIQ
Tower of Rove Culmination,,HecateZoe,elusivveeee,Ring 8 (AToS),"Purism, Technical, Jank",Raw Difficulty,Short (15+ min.),12/24/2022,https://www.youtube.com/embed/tI3bBTy2rd4&ab_channel=HecateZoe
Tower of Descent Into Exile,,1fren6,Various Creators,Zone 8 (JToH),Client Objects,"Raw Difficulty, Punishment",Very Short (10+ min.),10/9/2022,https://www.youtube.com/embed/2UDU8tlGkWM
Tower of Reproachful Eyewall,,llyaria,AAAAFanboy,N/A,Purism,"Raw Difficulty, Punishment",Very Short (10+ min.),5/18/2024,https://www.youtube.com/embed/HcRDybJWccw&pp=ygUhanRvaCB0b3dlciBvZiByZXByb2FjaGZ1bCBleWV3YWxs
Tower of Disengaging Lunacy,,mina_cious,shinryan12,Regret's Cave (ZToA),Purism,Raw Difficulty,Very Short (10+ min.),1/1/2024,https://www.youtube.com/embed/Bua4vMaOM4U
Tower of Fiend Massacre,,MistakennJ,MistakennJ,N/A,Purism,"Raw Difficulty, Punishment",Short (15+ min.),9/19/2023,https://www.youtube.com/embed/UHlCZYrIzGY
Tower of Wacky Truss Destruction,,BlueObbyMan,CrystalDesirezZ,Domain 1 (CTT),"Client Objects, Technical",Raw Difficulty,Short (15+ min.),4/30/2024,https://www.youtube.com/embed/oQoLpn2U6_E
Tower of Arduous Architecture,,MythIX,megabruhfart,N/A,Purism,"Raw Difficulty, Punishment",Short (15+ min.),5/16/2024,https://www.youtube.com/embed/cJ6V5wsWhUM
Tower of Angled Passageways,,dizzish,FireToast2,N/A,Mixed,Punishment,Moderate (20+ min.),6/17/2024,https://www.youtube.com/embed/hoimtp1p820
Tower of Speedy Cat Deluxe,11.25,speedycat5,speedycat5,N/A,Purism,Raw Difficulty,Very Short (10+ min.),6/23/2024,https://youtube.com/embed/AWvvxiIpmio?si=tKPJQb-R14M8bmIC
Tower of Ruthless Royal Architecture,,Sliggaz,TheGracefulHobo,Scope 1 (CSCD),Mixed,Punishment,Moderate (20+ min.),12/19/2022,https://www.youtube.com/embed/pKqiaYoVgH0&
Tower of Gelidity,,Pink_Amigo,Various Creators,Scope 2 (CSCD),Client Objects,Raw Difficulty,Moderate (20+ min.),9/5/2023,https://www.youtube.com/embed/UhiG7j420OM
Tower of Generation Failure,,myfrata,Feodoric,Ring 8 (JToH),Mixed,"Raw Difficulty, Punishment",Long (30+ min.),10/18/2020,https://www.youtube.com/embed/GVzklitfxew
Tower of Quadrilaterals,,MythIX,2147483647,The Eternal Abyss,"Client Objects, Linear",Raw Difficulty,Long (30+ min.),6/28/2024,https://www.youtube.com/embed/HAI6Hbr6j2c
Tower of Silly Furry,,Oofguy,AddisonJudah,N/A,"Client Objects, Linear",Raw Difficulty,Moderate (20+ min.),3/12/2024,https://www.youtube.com/embed/WJVfPxcuk8A
Tower of Champion's Gaming,,BoomSasok,swordi_lol,N/A,Purism,Raw Difficulty,Extremely Short (5+ min.),8/19/2022,https://www.youtube.com/embed/JLk2MUhxUmA
Tower of Cata4,,8seny,Cletus_Yeetus0403,N/A,"Client Objects, Linear",Raw Difficulty,Short (15+ min.),5/9/2024,https://www.youtube.com/embed/KkqDIKWK5tg
